,count,POS_Tag,word,PMI_Negative,SOW,PMI_Positive,tag
1114,2,VBG,cautioning,-1.42520661085,-0.860199755057,-2.28540636591,1
1116,2,VBG,acquainting,-1.42520661085,-0.860199755057,-2.28540636591,1
1120,1,JJ,alexandrian,,-1.28540636591,-1.28540636591,1
1124,2,VBG,spurting,-0.425206610853,0.425206610853,,1
1128,4,VBG,amaaaaaaaazing,,-1.28540636591,-1.28540636591,1
1131,5,VBG,denoting,-2.74713470574,1.13980024494,-1.6073344608,1
1135,3,JJ,atentative,-2.01016911157,0.139800244943,-1.87036886663,1
1136,13,VBN,perfumed,-2.12564632899,0.309725246385,-1.81592108261,1
1138,6,VBN,dowsed,-2.01016911157,0.139800244943,-1.87036886663,1
1139,2,VBG,forsaking,-0.425206610853,0.425206610853,,1
1147,19,VBN,humbled,-3.6731341243,2.22726308619,-1.4458710381,1
1148,116,RB,flawlessly,-3.19572476473,1.68169402377,-1.51403074096,1
1149,5,VBG,rippling,-2.74713470574,1.13980024494,-1.6073344608,1
1152,12,JJ,largish,-1.20281418952,-1.34562658223,-2.54844077174,1
1154,1,JJ,nutrtious,,-1.28540636591,-1.28540636591,1
1155,1,RB,reeeeeeeeeally,,-1.28540636591,-1.28540636591,1
1156,1,JJ,maxican,,-1.28540636591,-1.28540636591,1
1159,1117,JJS,nicest,-2.78243575656,1.18379322568,-1.59864253088,1
1162,1,VBG,soldering,,-1.28540636591,-1.28540636591,1
1177,5,VBG,rechecking,-0.74713470574,-2.86019975506,-3.6073344608,1
1184,2,JJ,escovish,,-1.28540636591,-1.28540636591,1
1185,27,VBG,slurring,-1.37273919096,-0.967114958974,-2.33985414993,1
1191,1,VBG,nickpicking,,-1.28540636591,-1.28540636591,1
1192,1,VBN,sandaled,-0.425206610853,0.425206610853,,1
1199,8,RB,wordlessly,-0.617851688795,-3.66755467711,-4.28540636591,1
1206,7,VBN,hawked,-1.64759903219,-0.445162255778,-2.09276128797,1
1212,1,RB,unnervingly,,-1.28540636591,-1.28540636591,1
1216,590,VBG,smelling,-1.5744953196,-0.575632187674,-2.15012750727,1
1231,1,VBN,swiched,,-1.28540636591,-1.28540636591,1
1249,1,VBN,puttered,,-1.28540636591,-1.28540636591,1
1258,1,VBN,metamorphosed,,-1.28540636591,-1.28540636591,1
1265,5,VBN,schwasted,-1.16217220502,-1.44516225578,-2.6073344608,1
1273,25,VBN,balled,-0.74713470574,-2.86019975506,-3.6073344608,1
1274,2,VBN,grappled,-1.42520661085,-0.860199755057,-2.28540636591,1
1279,87,VBG,connecting,-1.82375598734,-0.149706372252,-1.9734623596,1
1280,4,VBN,obssessed,,-1.28540636591,-1.28540636591,1
1285,2,JJ,tenacious,-1.42520661085,-0.860199755057,-2.28540636591,1
1299,3,JJ,splitable,-1.01016911157,-1.86019975506,-2.87036886663,1
1305,2,JJ,rechargable,,-1.28540636591,-1.28540636591,1
1311,1,JJ,scrumdiddlyumptuous,,-1.28540636591,-1.28540636591,1
1312,1,VBG,reining,-0.425206610853,0.425206610853,,1
1315,1,JJ,phenomitastic,,-1.28540636591,-1.28540636591,1
1318,1,RB,ffirst,-0.425206610853,0.425206610853,,1
1332,13,VBN,hindered,-0.955721327552,-2.0301247565,-2.98584608405,1
1335,3,VBN,specked,-2.01016911157,0.139800244943,-1.87036886663,1
1340,68,VBG,chopping,-1.30321608647,-1.1154568103,-2.41867289677,1
1344,10,VBN,ogled,-2.16217220502,0.362192666279,-1.79997953874,1
1353,768,VBN,celebrated,-3.15218811645,1.63054740405,-1.5216407124,1
1363,2,JJ,trinidadian,-1.42520661085,-0.860199755057,-2.28540636591,1
1364,38,RB,unintentionally,-1.42520661085,-0.860199755057,-2.28540636591,1
1366,10,VBN,drafted,-2.16217220502,0.362192666279,-1.79997953874,1
1373,16,VBG,plucking,-1.42520661085,-0.860199755057,-2.28540636591,1
1383,29,VBG,dwindling,-1.11326260454,-1.57069313786,-2.6839557424,1
1390,33,VBN,impacted,-1.07728330743,-1.66755467711,-2.74483798455,1
1394,1,VBG,appetitizing,-0.425206610853,0.425206610853,,1
1399,28,VBN,sprouted,-2.06263653147,0.217802756944,-1.84483377452,1
1408,1,RB,gardiniere,,-1.28540636591,-1.28540636591,1
1412,1,VBG,decantering,,-1.28540636591,-1.28540636591,1
1414,1,VBG,spackling,-0.425206610853,0.425206610853,,1
1417,2,RB,inquisitively,-1.42520661085,-0.860199755057,-2.28540636591,1
1429,2,VBN,scrabled,,-1.28540636591,-1.28540636591,1
1436,2,VBN,perished,-0.425206610853,0.425206610853,,1
1439,1,RB,clasically,-0.425206610853,0.425206610853,,1
1443,1,VBN,remved,,-1.28540636591,-1.28540636591,1
1444,1009,VBN,opposed,-1.66245008356,-0.419272388054,-2.08172247161,1
1452,7,VBN,consoled,-1.64759903219,-0.445162255778,-2.09276128797,1
1469,2,RB,chelly,,-1.28540636591,-1.28540636591,1
1482,5,VBN,americanised,-1.74713470574,-0.275237254336,-2.02237196008,1
1487,2584,VBG,following,-1.79337070671,-0.198980473756,-1.99235118047,1
1501,5,JJ,impersonable,-1.16217220502,-1.44516225578,-2.6073344608,1
1504,1,VBN,additcted,,-1.28540636591,-1.28540636591,1
1515,1,VBN,confermed,-0.425206610853,0.425206610853,,1
1517,171,VBG,thanking,-2.5951316123,0.947155167,-1.64797644529,1
1535,8,RB,convincingly,-1.42520661085,-0.860199755057,-2.28540636591,1
1536,71,VBD,fueled,-2.40502872892,0.697795698064,-1.70723303085,1
1548,55,VBG,surfing,-1.74713470574,-0.275237254336,-2.02237196008,1
1549,9,VBN,griled,-1.5951316123,-0.53827166017,-2.13340327247,1
1552,1,VBN,rrrrrrrrroasted,-0.425206610853,0.425206610853,,1
1554,8,VBG,inhabiting,-3.42520661085,1.947155167,-1.47805144385,1
1555,2,JJ,nebbish,-1.42520661085,-0.860199755057,-2.28540636591,1
1559,4,VBG,subsisting,-1.42520661085,-0.860199755057,-2.28540636591,1
1561,8,RB,ocassionally,-2.42520661085,0.724762745664,-1.70044386519,1
1566,1,VBN,thined,-0.425206610853,0.425206610853,,1
1583,2,VBG,stampeding,-0.425206610853,0.425206610853,,1
1613,4,VBN,shacked,-1.42520661085,-0.860199755057,-2.28540636591,1
1614,3,JJ,uncomfotable,-1.01016911157,-1.86019975506,-2.87036886663,1
1622,1367,VBG,overpowering,-1.99651408751,0.119268934527,-1.87724515299,1
1626,73,VBN,sorted,-1.36710365629,-0.978844251556,-2.34594790785,1
1629,1,JJ,jahlicious,,-1.28540636591,-1.28540636591,1
1632,4,RB,appreciatively,,-1.28540636591,-1.28540636591,1
1638,13,VBG,pealing,-0.803718234107,-2.59716534922,-3.40088358333,1
1644,22,VBN,pouched,-1.42520661085,-0.860199755057,-2.28540636591,1
1646,5,VBG,personalizing,,-1.28540636591,-1.28540636591,1
1649,1,VBN,mealsdelivered,,-1.28540636591,-1.28540636591,1
1664,1475,VBG,entering,-1.6163154953,-0.500361818255,-2.11667731355,1
1674,1,VBN,assembeled,-0.425206610853,0.425206610853,,1
1676,8,VBD,wisked,-1.10327851597,-1.59716534922,-2.70044386519,1
1679,12833,RB,seriously,-1.59679077153,-0.535286546007,-2.13207731754,1
1684,2,RB,hygienically,-0.425206610853,0.425206610853,,1
1697,7,RB,inwardly,-1.23256153291,-1.27523725434,-2.50779878725,1
1712,402,JJ,modest,-2.02097586653,0.155980171998,-1.86499569453,1
1716,106,JJ,quibble,-2.98320206397,1.42930686214,-1.55389520184,1
1717,1,VBG,socking,-0.425206610853,0.425206610853,,1
1725,3,VBN,spoked,-1.01016911157,-1.86019975506,-2.87036886663,1
1738,4,VBN,looved,,-1.28540636591,-1.28540636591,1
1752,1,VBN,beennspoiled,,-1.28540636591,-1.28540636591,1
1754,4,JJ,bamtastic,,-1.28540636591,-1.28540636591,1
1755,1,VBN,piiled,,-1.28540636591,-1.28540636591,1
1761,232,VBG,lingering,-1.75962564992,-0.254478694169,-2.01410434409,1
1764,1,VBN,ocurred,,-1.28540636591,-1.28540636591,1
1775,19,VBN,fanned,-2.08817162358,0.255277462363,-1.83289416121,1
1780,2,VBD,surged,-0.425206610853,0.425206610853,,1
1785,1,VBN,overordered,,-1.28540636591,-1.28540636591,1
1787,6,VBN,tingled,-3.01016911157,1.46172833983,-1.54844077174,1
1789,1,RB,marvellously,,-1.28540636591,-1.28540636591,1
1793,1,VBN,waoted,-0.425206610853,0.425206610853,,1
1798,486,VBG,wandering,-1.75756207719,-0.257899937903,-2.01546201509,1
1800,3,JJ,disasterous,-0.425206610853,0.425206610853,,1
1804,116,JJ,sumptuous,-3.47583268392,2.00487066486,-1.47096201907,1
1807,7425,VBD,turned,-1.27180521825,-1.18527593105,-2.4570811493,1
1814,19,JJ,uninterrupted,-1.50320912285,-0.708196661612,-2.21140578447,1
1825,51,JJ,fashionable,-1.5126694521,-0.690274753615,-2.20294420572,1
1833,1,VBN,vascillated,-0.425206610853,0.425206610853,,1
1834,1,VBG,smoothering,,-1.28540636591,-1.28540636591,1
1836,14,RB,fashionably,-1.91063343802,-0.0122028485022,-1.92283628653,1
1843,136,VBG,discerning,-1.78474899754,-0.213080778273,-1.99782977581,1
1845,33,VBG,spewing,-1.29967572877,-1.12323416089,-2.42290988966,1
1871,1,JJ,obsidian,,-1.28540636591,-1.28540636591,1
1894,5,VBG,heeding,-1.74713470574,-0.275237254336,-2.02237196008,1
1896,432,VBN,imagined,-1.86721115773,-0.0803255694216,-1.94753672715,1
1900,2,VBG,reconciling,,-1.28540636591,-1.28540636591,1
1901,64,VBN,recomended,-2.96577499222,1.40828908087,-1.55748591135,1
1907,102,RB,aimlessly,-1.03154276237,-1.79700592857,-2.82854869094,1
1911,1,RB,fattly,-0.425206610853,0.425206610853,,1
1916,2,VBG,puling,,-1.28540636591,-1.28540636591,1
1917,1,VBN,soked,,-1.28540636591,-1.28540636591,1
1918,6,VBN,rejoiced,-2.01016911157,0.139800244943,-1.87036886663,1
1920,3,VBN,revolutionized,-1.01016911157,-1.86019975506,-2.87036886663,1
1924,1,JJ,inwish,,-1.28540636591,-1.28540636591,1
1938,11,RB,keenly,-1.5627101346,-0.597165349223,-2.15987548383,1
1942,6,VBG,seeting,-3.01016911157,1.46172833983,-1.54844077174,1
1951,1,VBN,personallized,,-1.28540636591,-1.28540636591,1
1952,35,VBN,enthralled,-1.64759903219,-0.445162255778,-2.09276128797,1
1958,2,RB,audaciously,-1.42520661085,-0.860199755057,-2.28540636591,1
1962,1,JJ,anuary,-0.425206610853,0.425206610853,,1
1963,1,VBG,forcefeeding,-0.425206610853,0.425206610853,,1
1967,1,JJ,incrediible,,-1.28540636591,-1.28540636591,1
1968,8,RB,aboslutely,-3.42520661085,1.947155167,-1.47805144385,1
1969,4,RB,defensively,-0.840244110132,-2.44516225578,-3.28540636591,1
1976,1,VBG,activating,,-1.28540636591,-1.28540636591,1
1996,1,JJ,humugous,,-1.28540636591,-1.28540636591,1
2003,1,JJ,rubbable,,-1.28540636591,-1.28540636591,1
2006,9,VBG,menacing,-1.5951316123,-0.53827166017,-2.13340327247,1
2009,30,RB,uncharacteristically,-1.24463436521,-1.24722287817,-2.49185724338,1
2014,5,RB,majestically,-2.74713470574,1.13980024494,-1.6073344608,1
2021,204,VBD,flipped,-1.0864046974,-1.64260831998,-2.72901301739,1
2022,92,VBG,paring,-2.62684047202,0.987797151498,-1.63904332052,1
2029,12,VBG,grooming,-1.42520661085,-0.860199755057,-2.28540636591,1
2040,1,VBN,vegasized,,-1.28540636591,-1.28540636591,1
2048,1,VBN,motived,,-1.28540636591,-1.28540636591,1
2060,1,RB,moistly,,-1.28540636591,-1.28540636591,1
2062,1,JJ,evolutionary,-0.425206610853,0.425206610853,,1
2077,1,VBG,intimdating,,-1.28540636591,-1.28540636591,1
2084,6,VBD,tightened,-0.425206610853,0.425206610853,,1
2094,1,RB,cliearly,,-1.28540636591,-1.28540636591,1
2096,1,VBN,ived,,-1.28540636591,-1.28540636591,1
2098,1,JJ,unsatsified,-0.425206610853,0.425206610853,,1
2103,1,VBN,acnowledged,-0.425206610853,0.425206610853,,1
2117,4,VBN,zonked,-2.42520661085,0.724762745664,-1.70044386519,1
2120,1,VBG,hardsorking,,-1.28540636591,-1.28540636591,1
2123,11,VBG,limping,-1.88463822949,-0.0528448329995,-1.93748306249,1
2125,34,VBN,liquored,-1.70531453005,-0.345626582227,-2.05094111227,1
2128,1,VBD,wegged,-0.425206610853,0.425206610853,,1
2129,103,VBN,verified,-1.06731301868,-1.69514050879,-2.76245352746,1
2132,1,VBN,scuplted,,-1.28540636591,-1.28540636591,1
2137,1,RB,abvouisly,-0.425206610853,0.425206610853,,1
2144,1,JJ,annivarsary,-0.425206610853,0.425206610853,,1
2145,6,RB,bogglingly,-2.01016911157,0.139800244943,-1.87036886663,1
2148,370,RB,visually,-1.64370511608,-0.451983521634,-2.09568863772,1
2161,1,JJ,valerian,-0.425206610853,0.425206610853,,1
2165,1,VBN,overaged,-0.425206610853,0.425206610853,,1
2174,1,VBN,reenergized,-0.425206610853,0.425206610853,,1
2187,4,RB,persistently,,-1.28540636591,-1.28540636591,1
2200,1,VBN,colsed,,-1.28540636591,-1.28540636591,1
2208,2,VBG,everyything,,-1.28540636591,-1.28540636591,1
2210,66,VBN,grounded,-2.01016911157,0.139800244943,-1.87036886663,1
2213,1,JJ,avaricious,-0.425206610853,0.425206610853,,1
2217,2,VBN,plumed,-1.42520661085,-0.860199755057,-2.28540636591,1
2222,1,VBN,glutted,-0.425206610853,0.425206610853,,1
2226,1,VBG,tantrumming,-0.425206610853,0.425206610853,,1
2229,1,VBN,prefenced,,-1.28540636591,-1.28540636591,1
2256,217,JJ,sensational,-3.37940292124,1.89468774711,-1.48471517413,1
2260,1,VBN,funfilled,,-1.28540636591,-1.28540636591,1
2286,2,VBN,tfaced,,-1.28540636591,-1.28540636591,1
2306,26,VBN,signaled,-0.803718234107,-2.59716534922,-3.40088358333,1
2312,68,JJ,untrained,-0.705314530046,-3.08259217639,-3.78790670644,1
2314,5,VBN,drizzed,,-1.28540636591,-1.28540636591,1
2322,1,JJ,incredble,,-1.28540636591,-1.28540636591,1
2324,1,VBN,dissehveled,,-1.28540636591,-1.28540636591,1
2327,14,VBG,disparaging,-1.06263653147,-1.70819666161,-2.77083319308,1
2337,2,VBG,exasperating,-0.425206610853,0.425206610853,,1
2349,1,VB,individualize,-0.425206610853,0.425206610853,,1
2350,14,RB,nastily,-0.425206610853,0.425206610853,,1
2355,1,VBN,delievred,,-1.28540636591,-1.28540636591,1
2356,4,VBN,commingled,-2.42520661085,0.724762745664,-1.70044386519,1
2363,2,RB,salivatingly,-1.42520661085,-0.860199755057,-2.28540636591,1
2367,1367,RB,lively,-2.44539935728,0.751624085832,-1.69377527145,1
2373,4,VBG,gnashing,-0.840244110132,-2.44516225578,-3.28540636591,1
2374,462,RB,bubbly,-2.39431260291,0.683421950283,-1.71089065262,1
