word,PMI_Positive,PMI_Negative,SOW,count,POS_Tag,tag
elsewhere,-2.336179599,-1.731383696,-0.604795903,5043,RB,1
unworldly,-0.425206611,,-0.425206611,1,RB,1
scamed,,-1.285406366,1.285406366,1,VBN,1
sickeningly,-2.205425403,-1.781832192,-0.423593211,79,RB,1
ineffectively,-1.010169112,-2.870368867,1.860199755,3,RB,1
lightened,-0.799602126,-3.414689383,2.615087257,35,VBN,1
applebeese,-0.425206611,,-0.425206611,1,JJ,1
renovated,-0.946038774,-3.00787239,2.061833616,429,VBN,1
needed,-1.414972778,-2.295713312,0.880740533,13345,VBN,1
understan,,-1.285406366,1.285406366,1,JJ,1
heretic,-1.425206611,-2.285406366,0.860199755,2,JJ,1
mutilated,-1.84024411,-1.963478271,0.123234161,8,VBN,1
emencely,-0.425206611,,-0.425206611,1,RB,1
positively,-1.094733407,-2.714799158,1.620065751,202,RB,1
condesending,,-1.285406366,1.285406366,2,VBG,1
ahmed,-0.747134706,-3.607334461,2.860199755,5,VBN,1
exclaimed,-1.554489628,-2.166761869,0.612272242,105,VBN,1
feeling,-1.210645204,-2.537548276,1.326903071,9342,VBG,1
saucily,-0.425206611,,-0.425206611,1,RB,1
consenting,-1.425206611,-2.285406366,0.860199755,2,VBG,1
diminishing,-1.803718234,-1.985846084,0.18212785,26,VBG,1
cinematic,-1.162172205,-2.607334461,1.445162256,5,JJ,1
resonated,-1.747134706,-2.02237196,0.275237254,10,VBN,1
hospitible,-1.010169112,-2.870368867,1.860199755,3,JJ,1
immedately,,-1.285406366,1.285406366,1,RB,1
paneling,-0.931391998,-3.042135215,2.110743217,196,VBG,1
saying,-1.704002797,-2.051860036,0.347857239,9737,VBG,1
misinterpeted,-1.425206611,-2.285406366,0.860199755,2,VBN,1
padded,-1.248328849,-2.487040227,1.238711378,69,VBN,1
tempted,-1.051180828,-2.791685517,1.740504689,892,VBN,1
hounded,-1.84024411,-1.963478271,0.123234161,16,VBD,1
bullshitted,-2.010169112,-1.870368867,-0.139800245,3,VBN,1
norcal,-0.861305726,-3.224005821,2.362700096,46,JJ,1
regrettfully,,-1.285406366,1.285406366,1,RB,1
hoeing,-0.425206611,,-0.425206611,2,VBG,1
altogether,-1.535892409,-2.182610797,0.646718388,501,RB,1
droning,-0.747134706,-3.607334461,2.860199755,5,VBG,1
staphylococcal,,-1.285406366,1.285406366,1,JJ,1
nicely,-0.974466585,-2.94453911,1.970072525,6266,RB,1
plinking,-0.425206611,,-0.425206611,1,VBG,1
insomniacian,,-1.285406366,1.285406366,1,JJ,1
foodielicious,-0.425206611,,-0.425206611,1,JJ,1
fireroasted,,-1.285406366,1.285406366,1,VBN,1
dissed,-1.162172205,-2.607334461,1.445162256,15,VBN,1
cordoned,-1.232561533,-2.507798787,1.275237254,7,VBN,1
epically,-1.175228358,-2.587969136,1.412740778,37,RB,1
romtantic,,-1.285406366,1.285406366,1,JJ,1
lapping,-0.688241017,-3.870368867,3.18212785,6,VBG,1
superficial,-1.358092415,-2.355795694,0.997703279,42,JJ,1
friendlyish,-0.425206611,,-0.425206611,1,JJ,1
ravenously,-1.141413645,-2.639043321,1.497629676,23,RB,1
levitating,-0.425206611,,-0.425206611,2,VBG,1
finfish,-0.425206611,,-0.425206611,1,JJ,1
fearlessly,-1.747134706,-2.02237196,0.275237254,5,RB,1
minused,-0.425206611,,-0.425206611,1,VBN,1
forgetabble,,-1.285406366,1.285406366,1,JJ,1
limitedly,,-1.285406366,1.285406366,1,RB,1
orgasmonic,-0.425206611,,-0.425206611,1,JJ,1
humming,-1.103278516,-2.700443865,1.597165349,64,VBG,1
much,-1.338528865,-2.377626512,1.039097647,90824,JJ,1
unleavened,-0.910633438,-3.092761288,2.18212785,7,JJ,1
toning,-0.425206611,,-0.425206611,3,VBG,1
obese,-1.625505261,-2.109556531,0.484051269,108,JJ,1
sensationalized,-0.425206611,,-0.425206611,1,VBN,1
opressive,-0.425206611,,-0.425206611,1,JJ,1
professionally,-1.021140229,-2.848673796,1.827533566,198,RB,1
misconstrued,-0.84024411,-3.285406366,2.445162256,4,VBN,1
conditioned,-0.93616853,-3.030833539,2.094665009,171,VBN,1
inventively,-0.425206611,,-0.425206611,2,RB,1
skinnylicious,-1.057474826,-2.780171058,1.722696231,62,JJ,1
mummified,-2.747134706,-1.607334461,-1.139800245,5,VBN,1
ivisiting,-0.425206611,,-0.425206611,1,VBG,1
yelpmazing,-0.425206611,,-0.425206611,2,VBG,1
petaled,-0.425206611,,-0.425206611,2,VBN,1
delishisly,-0.425206611,,-0.425206611,1,RB,1
luxurous,-0.425206611,,-0.425206611,1,JJ,1
academic,-0.762241598,-3.548440772,2.786199174,24,JJ,1
corporate,-1.939682433,-1.906947165,-0.032735267,2117,JJ,1
massaging,-2.425206611,-1.700443865,-0.724762746,8,VBG,1
provincal,-0.425206611,,-0.425206611,1,JJ,1
appropriately,-1.134245769,-2.650264622,1.516018853,631,RB,1
unflinchingly,-1.425206611,-2.285406366,0.860199755,2,RB,1
unbloated,-0.425206611,,-0.425206611,1,JJ,1
immeadiately,-1.010169112,-2.870368867,1.860199755,3,RB,1
replated,-1.747134706,-2.02237196,0.275237254,5,VBN,1
municipal,-0.425206611,,-0.425206611,20,JJ,1
anwhere,,-1.285406366,1.285406366,1,RB,1
caramelly,-0.425206611,,-0.425206611,8,RB,1
unequivocally,-1.145098692,-2.633329669,1.488230978,28,RB,1
indicative,-1.651715141,-2.089681895,0.437966754,117,JJ,1
drippiing,,-1.285406366,1.285406366,1,VBG,1
sleuthing,,-1.285406366,1.285406366,1,VBG,1
whinning,-0.425206611,,-0.425206611,1,VBG,1
unabashedly,-0.747134706,-3.607334461,2.860199755,25,RB,1
550cal,,-1.285406366,1.285406366,1,JJ,1
gooble,,-1.285406366,1.285406366,1,JJ,1
contiplating,-0.425206611,,-0.425206611,2,VBG,1
flurrying,-0.425206611,,-0.425206611,1,VBG,1
completly,-1.585671283,-2.141016457,0.555345174,38,RB,1
chloraseptic,,-1.285406366,1.285406366,1,JJ,1
starring,-1.66621471,-2.078955488,0.412740778,78,VBG,1
immanently,,-1.285406366,1.285406366,1,RB,1
anomalous,-1.162172205,-2.607334461,1.445162256,5,JJ,1
uninitated,-0.425206611,,-0.425206611,1,JJ,1
fusian,-0.747134706,-3.607334461,2.860199755,5,JJ,1
disapopinted,,-1.285406366,1.285406366,1,VBN,1
extreeemly,,-1.285406366,1.285406366,1,RB,1
despised,-1.010169112,-2.870368867,1.860199755,12,VBN,1
raped,-2.010169112,-1.870368867,-0.139800245,42,VBD,1
grasping,-1.287703087,-2.437409459,1.149706372,20,VBG,1
cautioning,-1.425206611,-2.285406366,0.860199755,2,VBG,1
acquainting,-1.425206611,-2.285406366,0.860199755,2,VBG,1
alexandrian,-0.425206611,,-0.425206611,1,JJ,1
spurting,,-1.285406366,1.285406366,2,VBG,1
amaaaaaaaazing,-0.425206611,,-0.425206611,4,VBG,1
denoting,-0.747134706,-3.607334461,2.860199755,5,VBG,1
atentative,-1.010169112,-2.870368867,1.860199755,3,JJ,1
perfumed,-0.955721328,-2.985846084,2.030124757,13,VBN,1
dowsed,-1.010169112,-2.870368867,1.860199755,6,VBN,1
forsaking,,-1.285406366,1.285406366,2,VBG,1
humbled,-0.585671283,-4.533333879,3.947662596,19,VBN,1
flawlessly,-0.653830986,-4.05592452,3.402093534,116,RB,1
rippling,-0.747134706,-3.607334461,2.860199755,5,VBG,1
largish,-1.688241017,-2.063013945,0.374772928,12,JJ,1
nutrtious,-0.425206611,,-0.425206611,1,JJ,1
reeeeeeeeeally,-0.425206611,,-0.425206611,1,RB,1
maxican,-0.425206611,,-0.425206611,1,JJ,1
nicest,-0.738442776,-3.642635512,2.904192736,1117,JJS,1
soldering,-0.425206611,,-0.425206611,1,VBG,1
rechecking,-2.747134706,-1.607334461,-1.139800245,5,VBG,1
escovish,-0.425206611,,-0.425206611,2,JJ,1
slurring,-1.479654395,-2.232938946,0.753284551,27,VBG,1
nickpicking,-0.425206611,,-0.425206611,1,VBG,1
sandaled,,-1.285406366,1.285406366,1,VBN,1
wordlessly,-3.425206611,-1.478051444,-1.947155167,8,RB,1
hawked,-1.232561533,-2.507798787,1.275237254,7,VBN,1
unnervingly,-0.425206611,,-0.425206611,1,RB,1
smelling,-1.289927752,-2.434695075,1.144767322,590,VBG,1
swiched,-0.425206611,,-0.425206611,1,VBN,1
puttered,-0.425206611,,-0.425206611,1,VBN,1
metamorphosed,-0.425206611,,-0.425206611,1,VBN,1
schwasted,-1.747134706,-2.02237196,0.275237254,5,VBN,1
balled,-2.747134706,-1.607334461,-1.139800245,25,VBN,1
grappled,-1.425206611,-2.285406366,0.860199755,2,VBN,1
connecting,-1.113262605,-2.683955742,1.570693138,87,VBG,1
obssessed,-0.425206611,,-0.425206611,4,VBN,1
tenacious,-1.425206611,-2.285406366,0.860199755,2,JJ,1
splitable,-2.010169112,-1.870368867,-0.139800245,3,JJ,1
rechargable,-0.425206611,,-0.425206611,2,JJ,1
scrumdiddlyumptuous,-0.425206611,,-0.425206611,1,JJ,1
reining,,-1.285406366,1.285406366,1,VBG,1
phenomitastic,-0.425206611,,-0.425206611,1,JJ,1
ffirst,,-1.285406366,1.285406366,1,RB,1
hindered,-2.125646329,-1.815921083,-0.309725246,13,VBN,1
specked,-1.010169112,-2.870368867,1.860199755,3,VBN,1
chopping,-1.558473142,-2.163415842,0.6049427,68,VBG,1
ogled,-0.939779784,-3.02237196,2.082592176,10,VBN,1
celebrated,-0.661440957,-4.012387872,3.350946914,768,VBN,1
trinidadian,-1.425206611,-2.285406366,0.860199755,2,JJ,1
unintentionally,-1.425206611,-2.285406366,0.860199755,38,RB,1
drafted,-0.939779784,-3.02237196,2.082592176,10,VBN,1
plucking,-1.425206611,-2.285406366,0.860199755,16,VBG,1
dwindling,-1.823755987,-1.97346236,0.149706372,29,VBG,1
impacted,-1.884638229,-1.937483062,0.052844833,33,VBN,1
appetitizing,,-1.285406366,1.285406366,1,VBG,1
sprouted,-0.984634019,-2.922836287,1.938202267,28,VBN,1
gardiniere,-0.425206611,,-0.425206611,1,RB,1
decantering,-0.425206611,,-0.425206611,1,VBG,1
spackling,,-1.285406366,1.285406366,1,VBG,1
inquisitively,-1.425206611,-2.285406366,0.860199755,2,RB,1
scrabled,-0.425206611,,-0.425206611,2,VBN,1
perished,,-1.285406366,1.285406366,2,VBN,1
clasically,,-1.285406366,1.285406366,1,RB,1
remved,-0.425206611,,-0.425206611,1,VBN,1
opposed,-1.221522717,-2.522649839,1.301127122,1009,VBN,1
consoled,-1.232561533,-2.507798787,1.275237254,7,VBN,1
chelly,-0.425206611,,-0.425206611,2,RB,1
americanised,-1.162172205,-2.607334461,1.445162256,5,VBN,1
following,-1.132151425,-2.653570462,1.521419036,2584,VBG,1
impersonable,-1.747134706,-2.02237196,0.275237254,5,JJ,1
additcted,-0.425206611,,-0.425206611,1,VBN,1
confermed,,-1.285406366,1.285406366,1,VBN,1
thanking,-0.78777669,-3.455331367,2.667554677,171,VBG,1
convincingly,-1.425206611,-2.285406366,0.860199755,8,RB,1
fueled,-0.847033276,-3.265228484,2.418195208,71,VBD,1
surfing,-1.162172205,-2.607334461,1.445162256,55,VBG,1
griled,-1.273203517,-2.455331367,1.18212785,9,VBN,1
rrrrrrrrroasted,,-1.285406366,1.285406366,1,VBN,1
inhabiting,-0.617851689,-4.285406366,3.667554677,8,VBG,1
nebbish,-1.425206611,-2.285406366,0.860199755,2,JJ,1
subsisting,-1.425206611,-2.285406366,0.860199755,4,VBG,1
ocassionally,-0.84024411,-3.285406366,2.445162256,8,RB,1
thined,,-1.285406366,1.285406366,1,VBN,1
stampeding,,-1.285406366,1.285406366,2,VBG,1
shacked,-1.425206611,-2.285406366,0.860199755,4,VBN,1
uncomfotable,-2.010169112,-1.870368867,-0.139800245,3,JJ,1
overpowering,-1.017045398,-2.856713843,1.839668445,1367,VBG,1
sorted,-1.485748153,-2.227303411,0.741555259,73,VBN,1
jahlicious,-0.425206611,,-0.425206611,1,JJ,1
appreciatively,-0.425206611,,-0.425206611,4,RB,1
pealing,-2.540683828,-1.663917989,-0.876765839,13,VBG,1
pouched,-1.425206611,-2.285406366,0.860199755,22,VBN,1
personalizing,-0.425206611,,-0.425206611,5,VBG,1
mealsdelivered,-0.425206611,,-0.425206611,1,VBN,1
entering,-1.256477558,-2.47651525,1.220037692,1475,VBG,1
assembeled,,-1.285406366,1.285406366,1,VBN,1
wisked,-1.84024411,-1.963478271,0.123234161,8,VBD,1
seriously,-1.271877562,-2.456990527,1.185112964,12833,RB,1
hygienically,,-1.285406366,1.285406366,2,RB,1
inwardly,-1.647599032,-2.092761288,0.445162256,7,RB,1
modest,-1.004795939,-2.881175622,1.876379682,402,JJ,1
quibble,-0.693695447,-3.843401819,3.149706372,106,JJ,1
socking,,-1.285406366,1.285406366,1,VBG,1
spoked,-2.010169112,-1.870368867,-0.139800245,3,VBN,1
looved,-0.425206611,,-0.425206611,4,VBN,1
beennspoiled,-0.425206611,,-0.425206611,1,VBN,1
bamtastic,-0.425206611,,-0.425206611,4,JJ,1
piiled,-0.425206611,,-0.425206611,1,VBN,1
lingering,-1.153904589,-2.619825405,1.465920816,232,VBG,1
ocurred,-0.425206611,,-0.425206611,1,VBN,1
fanned,-0.972694406,-2.948371379,1.975676972,19,VBN,1
surged,,-1.285406366,1.285406366,2,VBD,1
overordered,-0.425206611,,-0.425206611,1,VBN,1
tingled,-0.688241017,-3.870368867,3.18212785,6,VBN,1
marvellously,-0.425206611,,-0.425206611,1,RB,1
waoted,,-1.285406366,1.285406366,1,VBN,1
wandering,-1.15526226,-2.617761832,1.462499572,486,VBG,1
disasterous,,-1.285406366,1.285406366,3,JJ,1
sumptuous,-0.610762264,-4.336032439,3.725270175,116,JJ,1
turned,-1.596881394,-2.132004973,0.535123579,7425,VBD,1
uninterrupted,-1.351206029,-2.363408878,1.012202849,19,JJ,1
fashionable,-1.342744451,-2.372869207,1.030124757,51,JJ,1
vascillated,,-1.285406366,1.285406366,1,VBN,1
smoothering,-0.425206611,,-0.425206611,1,VBG,1
fashionably,-1.062636531,-2.770833193,1.708196662,14,RB,1
discerning,-1.137630021,-2.644948753,1.507318732,136,VBG,1
spewing,-1.562710135,-2.159875484,0.597165349,33,VBG,1
obsidian,-0.425206611,,-0.425206611,1,JJ,1
heeding,-1.162172205,-2.607334461,1.445162256,5,VBG,1
imagined,-1.087336972,-2.727410913,1.640073941,432,VBN,1
reconciling,-0.425206611,,-0.425206611,2,VBG,1
recomended,-0.697286156,-3.825974747,3.128688591,64,VBN,1
aimlessly,-1.968348936,-1.891742517,-0.076606418,102,RB,1
fattly,,-1.285406366,1.285406366,1,RB,1
puling,-0.425206611,,-0.425206611,2,VBG,1
soked,-0.425206611,,-0.425206611,1,VBN,1
rejoiced,-1.010169112,-2.870368867,1.860199755,6,VBN,1
revolutionized,-2.010169112,-1.870368867,-0.139800245,3,VBN,1
inwish,-0.425206611,,-0.425206611,1,JJ,1
keenly,-1.299675729,-2.42290989,1.123234161,11,RB,1
seeting,-0.688241017,-3.870368867,3.18212785,6,VBG,1
personallized,-0.425206611,,-0.425206611,1,VBN,1
enthralled,-1.232561533,-2.507798787,1.275237254,35,VBN,1
audaciously,-1.425206611,-2.285406366,0.860199755,2,RB,1
anuary,,-1.285406366,1.285406366,1,JJ,1
forcefeeding,,-1.285406366,1.285406366,1,VBG,1
incrediible,-0.425206611,,-0.425206611,1,JJ,1
aboslutely,-0.617851689,-4.285406366,3.667554677,8,RB,1
defensively,-2.425206611,-1.700443865,-0.724762746,4,RB,1
activating,-0.425206611,,-0.425206611,1,VBG,1
humugous,-0.425206611,,-0.425206611,1,JJ,1
rubbable,-0.425206611,,-0.425206611,1,JJ,1
menacing,-1.273203517,-2.455331367,1.18212785,9,VBG,1
uncharacteristically,-1.631657488,-2.10483412,0.473176632,30,RB,1
majestically,-0.747134706,-3.607334461,2.860199755,5,RB,1
flipped,-1.868813262,-1.946604452,0.07779119,204,VBD,1
paring,-0.778843565,-3.487040227,2.708196662,92,VBG,1
grooming,-1.425206611,-2.285406366,0.860199755,12,VBG,1
vegasized,-0.425206611,,-0.425206611,1,VBN,1
motived,-0.425206611,,-0.425206611,1,VBN,1
moistly,-0.425206611,,-0.425206611,1,RB,1
evolutionary,,-1.285406366,1.285406366,1,JJ,1
intimdating,-0.425206611,,-0.425206611,1,VBG,1
tightened,,-1.285406366,1.285406366,6,VBD,1
cliearly,-0.425206611,,-0.425206611,1,RB,1
ived,-0.425206611,,-0.425206611,1,VBN,1
unsatsified,,-1.285406366,1.285406366,1,JJ,1
acnowledged,,-1.285406366,1.285406366,1,VBN,1
zonked,-0.84024411,-3.285406366,2.445162256,4,VBN,1
hardsorking,-0.425206611,,-0.425206611,1,VBG,1
limping,-1.077283307,-2.744837985,1.667554677,11,VBG,1
liquored,-1.190741357,-2.565514285,1.374772928,34,VBN,1
wegged,,-1.285406366,1.285406366,1,VBD,1
verified,-1.902253772,-1.927512774,0.025259001,103,VBN,1
scuplted,-0.425206611,,-0.425206611,1,VBN,1
abvouisly,,-1.285406366,1.285406366,1,RB,1
annivarsary,,-1.285406366,1.285406366,1,JJ,1
bogglingly,-1.010169112,-2.870368867,1.860199755,6,RB,1
visually,-1.235488883,-2.503904871,1.268415988,370,RB,1
valerian,,-1.285406366,1.285406366,1,JJ,1
overaged,,-1.285406366,1.285406366,1,VBN,1
reenergized,,-1.285406366,1.285406366,1,VBN,1
persistently,-0.425206611,,-0.425206611,4,RB,1
colsed,-0.425206611,,-0.425206611,1,VBN,1
everyything,-0.425206611,,-0.425206611,2,VBG,1
grounded,-1.010169112,-2.870368867,1.860199755,66,VBN,1
avaricious,,-1.285406366,1.285406366,1,JJ,1
plumed,-1.425206611,-2.285406366,0.860199755,2,VBN,1
glutted,,-1.285406366,1.285406366,1,VBN,1
tantrumming,,-1.285406366,1.285406366,1,VBG,1
prefenced,-0.425206611,,-0.425206611,1,VBN,1
sensational,-0.624515419,-4.239602676,3.615087257,217,JJ,1
funfilled,-0.425206611,,-0.425206611,1,VBN,1
tfaced,-0.425206611,,-0.425206611,2,VBN,1
signaled,-2.540683828,-1.663917989,-0.876765839,26,VBN,1
untrained,-2.927706951,-1.565514285,-1.362192666,68,JJ,1
drizzed,-0.425206611,,-0.425206611,5,VBN,1
incredble,-0.425206611,,-0.425206611,1,JJ,1
dissehveled,-0.425206611,,-0.425206611,1,VBN,1
disparaging,-1.910633438,-1.922836287,0.012202849,14,VBG,1
exasperating,,-1.285406366,1.285406366,2,VBG,1
individualize,,-1.285406366,1.285406366,1,VB,1
nastily,,-1.285406366,1.285406366,14,RB,1
delievred,-0.425206611,,-0.425206611,1,VBN,1
commingled,-0.84024411,-3.285406366,2.445162256,4,VBN,1
salivatingly,-1.425206611,-2.285406366,0.860199755,2,RB,1
lively,-0.833575516,-3.305599112,2.472023596,1367,RB,1
gnashing,-2.425206611,-1.700443865,-0.724762746,4,VBG,1
bubbly,-0.850690898,-3.254512358,2.40382146,462,RB,1
sealed,-1.157584936,-2.61424283,1.456657895,314,VBN,1
brazilian,-1.607285813,-2.123753102,0.51646729,447,JJ,1
punished,-2.097631953,-1.828548691,-0.269083262,51,VBN,1
bubble,-1.057090159,-2.780870716,1.723780557,750,JJ,1
puzzedly,,-1.285406366,1.285406366,1,RB,1
nonconsensual,,-1.285406366,1.285406366,1,JJ,1
abused,-2.206566324,-1.781363861,-0.425202464,55,VBN,1
unsual,-0.425206611,,-0.425206611,3,JJ,1
operationally,-1.425206611,-2.285406366,0.860199755,2,RB,1
siiiiiing,-0.425206611,,-0.425206611,1,VBG,1
ahhhhhhmazing,-0.425206611,,-0.425206611,4,VBG,1
ricdiulous,,-1.285406366,1.285406366,1,JJ,1
associating,-2.010169112,-1.870368867,-0.139800245,9,VBG,1
watched,-1.785623949,-1.997271349,0.2116474,2583,VBN,1
tremble,-1.010169112,-2.870368867,1.860199755,6,JJ,1
nevvvvvvvvver,,-1.285406366,1.285406366,1,RB,1
unwelcomed,-2.634659976,-1.636878736,-0.99778124,37,JJ,1
unparalleled,-0.554841891,-4.825974747,4.271132856,128,JJ,1
refunded,-3.555910303,-1.460309861,-2.095600441,254,VBN,1
waving,-2.206089322,-1.7815596,-0.424529722,189,VBG,1
sheepishly,-1.425206611,-2.285406366,0.860199755,20,RB,1
soggified,-0.425206611,,-0.425206611,1,VBN,1
posible,-1.010169112,-2.870368867,1.860199755,3,JJ,1
maliciously,,-1.285406366,1.285406366,2,RB,1
caused,-1.955483161,-1.898509347,-0.056973814,673,VBN,1
ceramic,-1.021309669,-2.84834256,1.827032891,130,JJ,1
gelatenous,-1.425206611,-2.285406366,0.860199755,6,JJ,1
funkilicious,-0.425206611,,-0.425206611,1,JJ,1
teching,-0.425206611,,-0.425206611,1,VBG,1
nore,-2.010169112,-1.870368867,-0.139800245,12,RB,1
floated,-1.153127065,-2.621009398,1.467882332,53,VBN,1
naggaing,,-1.285406366,1.285406366,1,VBG,1
developing,-1.232561533,-2.507798787,1.275237254,63,VBG,1
insufficiently,-3.232561533,-1.507798787,-1.724762746,7,RB,1
ohhing,-0.425206611,,-0.425206611,1,VBG,1
basterdized,-0.425206611,,-0.425206611,1,VBN,1
senselessly,-0.425206611,,-0.425206611,1,RB,1
abbreviated,-1.264741939,-2.465978612,1.201236673,34,VBN,1
disappoionted,,-1.285406366,1.285406366,1,VBN,1
tidily,-0.425206611,,-0.425206611,1,RB,1
psychosomatic,,-1.285406366,1.285406366,3,JJ,1
prevailed,-1.131475408,-2.654640176,1.523164768,31,VBN,1
hewing,-0.425206611,,-0.425206611,1,VBG,1
scuttled,,-1.285406366,1.285406366,4,VBN,1
daunted,-0.939779784,-3.02237196,2.082592176,10,VBN,1
contrastingly,-0.425206611,,-0.425206611,1,RB,1
provably,-2.425206611,-1.700443865,-0.724762746,8,RB,1
disinfecting,-0.425206611,,-0.425206611,2,VBG,1
brainfarted,-0.425206611,,-0.425206611,1,VBN,1
reclaimed,-0.78777669,-3.455331367,2.667554677,9,VBN,1
traumatized,-2.540683828,-1.663917989,-0.876765839,26,VBN,1
orered,-2.425206611,-1.700443865,-0.724762746,4,VBN,1
rapacious,-0.425206611,,-0.425206611,1,JJ,1
aranging,-0.425206611,,-0.425206611,1,VBG,1
bonered,,-1.285406366,1.285406366,1,VBN,1
corrected,-2.01880803,-1.866068729,-0.152739301,670,VBN,1
freakndelicious,-0.425206611,,-0.425206611,1,JJ,1
leary,-0.910633438,-3.092761288,2.18212785,49,JJ,1
installing,-1.425206611,-2.285406366,0.860199755,14,VBG,1
knocked,-1.184325347,-2.574729795,1.390404448,875,VBN,1
scramble,-0.911377287,-3.090903342,2.179526055,1164,JJ,1
bonded,-1.046694988,-2.799979539,1.753284551,20,VBN,1
huge,-0.90286095,-3.112377705,2.209516755,38282,JJ,1
glutened,-1.053237833,-2.787906706,1.734668873,17,VBN,1
dismissed,-2.789779043,-1.596867462,-1.192911581,103,VBN,1
thickened,-2.452687347,-1.691398726,-0.761288622,53,VBN,1
disgraced,-2.010169112,-1.870368867,-0.139800245,9,VBN,1
huddled,-2.220386819,-1.775731992,-0.444654826,59,VBD,1
resemble,-1.867564716,-1.947330848,0.079766132,231,JJ,1
twisting,-1.662245808,-2.081872972,0.419627164,33,VBG,1
